Id;Title;Year;Journal;First_Author;Abstract;Year_class
432;Safety of hormonal replacement therapy in postmenopausal patients with systemic lupus erythematosus.;1998;Scandinavian journal of rheumatology;Mok CC;It remains controversial whether administration of exogenous estrogens is safe in systemic lupus erythematosus (SLE). The current study was undertaken to determine the effect of hormone replacement therapy (HRT) on the rate and magnitude of flares in a cohort of postmenopausal SLE patients. Thirty-four patients were prospectively followed. The frequency and severity of disease exacerbations in 11 patients who received HRT was compared with 23 patients who did not receive HRT.  Our results showed that both users and non-users of HRT had a comparable age of disease onset, duration of disease, clinical manifestations, and duration of follow-up. No significant increase in the rate (0.12 relapses/patient-year in HRT group vs 0.16 relapses/patient-year in the non-HRT group, p = 0.90) or magnitude  (total SLEDAI score increase during flares/patient-year in the HRT and non-HRT groups were 0.55 and 1.22, respectively, p = 0.57) of flares could be demonstrated in patients who received HRT over a median follow-up period of 35 months. We concluded that HRT appeared to be well tolerated and safe in postmenopausal SLE patients. Its potential beneficial effect may outweigh its deleterious effect on disease activity.;1998-2000
433;Bone marrow findings in systemic lupus erythematosus patients with peripheral cytopenias.;1998;Clinical rheumatology;Pereira RM;"We studied 21 bone marrow specimens from 21 patients with systemic lupus erythematosus (SLE) and peripheral cytopenias: anaemia (Hb < 10 g/dl), and/or leucopenia (white blood cell count < 4 x 10(9)/l), and/or thrombocytopenia (platelets < 150 x 10(9)/l). None of the patients had used immunosuppressive drugs in the 2 months before the study, and 11 (52.4%) had never used these drugs. The global and specific series cellularity, degree of fibrosis and necrosis were evaluated by bone marrow trephine; morphological abnormalities and  iron stores were evaluated by cytological smears. The most important abnormalities viewed in bone marrow biopsies were: global hypocellularity (47.6%), increased reticulin proliferation (76.2%) with myelofibrosis in one patient, and necrosis (19.0%). The marrow aspirates were difficult to obtain in four patients, who showed an increased reticulin proliferation on histological analysis. Plasmocytosis was present in 26.7% of cases and in one there was a serum monoclonal component (IgG kappa). Iron stores were normal or increased in 26.7% of specimens and decreased or absent in 73.3%. The most frequent peripheral abnormality was leucopenia in 90.4% (19/21) and granulocytic hypoplasia was observed in 47.3% (9/19) of these patients. We conclude that the bone marrow may  be a target organ in SLE with cytopenias.";1998-2000
434;Systemic lupus erythematosus in three ethnic groups: I. The effects of HLA class  II, C4, and CR1 alleles, socioeconomic factors, and ethnicity at disease onset. LUMINA Study Group. Lupus in minority populations, nature versus nurture.;1998;Arthritis and rheumatism;Reveille JD;OBJECTIVE: To study the relative impact of immunogenetic versus socioeconomic factors on systemic lupus erythematosus (SLE) at disease onset/presentation.;1998-2000
435;Long-term thalidomide use in refractory cutaneous lesions of systemic lupus erythematosus.;1998;Revista da Associacao Medica Brasileira (1992);Sato EI;OBJECTIVE: To evaluate the efficacy of long-term thalidomide treatment in cutaneous lesions of systemic lupus erythematosus (SLE), not responsive to conventional therapy. PATIENTS AND METHODS: Were selected 18 SLE patients (ACR criteria) with active cutaneous lesions not responsive to chloroquine, photoprotectors and low doses prednisone and who presented good response to thalidomide but relapsed after withdrawal of the drug. All female patients had no risk of pregnancy. Thalidomide was reintroduced and maintained at low dose (25-100 mg/day) for a minimum of 6 months. RESULTS: Eighteen patients (16 females) with mean age of 34.2 yo (16-57 y.o.) received thalidomide for 6-21 months (mean 8.5 m). The mean dose of prednisone at beginning of study was 38.3 mg/d and at the end was 9.7 mg/d (p < 0.05). Complete remission of cutaneous lesions was observed in thirteen patients (72%) and partial remission in five (28%). Side effects observed were: drowsiness in eight patients, intestinal constipation in 5, transient oliguria in 1, paresthesia of hand with normal electromyography in another one. All side effects disappeared with reduction of thalidomide dose and no patient needed to stop treatment owing to side effect. CONCLUSION: Thalidomide is a good alternative therapy to SLE patients with refractory cutaneous lesions and without any risk of pregnancy.;1998-2000
436;Correlation of Fc gamma receptor expression of monocytes with clearance function  by macrophages in systemic lupus erythematosus.;1998;Scandinavian journal of immunology;Seres T;The expression of Fc gamma receptor II (Fc gammaRII) and Fc gammaRIII on monocytes in peripheral blood and the clearance of immunoglobulin (Ig)G-sensitized erythrocytes (EA) by tissue macrophages were investigated in parallel in patients with systemic lupus erythematosus (SLE). The relationship between receptor expression and the rate of clearance of EA (half-time) was analyzed. The detected decrease in mean fluorescence intensity of both FcR gammaII and Fc gammaRIII of patients' monocytes stained with specific monoclonal  antibodies (IV.3 and 3G8) was inversely correlated with the prolonged clearance half-time of 51Cr-labelled and anti-D IgG-sensitized autologous erythrocytes in these patients. A correlation was found between the impaired clearance function and the severity of the disease manifestation expressed by either clinical activity or renal involvement in our SLE patients. From these results it can be concluded that the in-vitro determination of monocyte Fc gammaRII and Fc gammaRIII expression may predict the in-vivo macrophage function via the same Fc  receptors.;1998-2000
437;A long-term study of hydroxychloroquine withdrawal on exacerbations in systemic lupus erythematosus. The Canadian Hydroxychloroquine Study Group.;1998;Lupus;Tsakonas E;The ability of antimalarials to moderate severe disease activity in systemic lupus erythematosus (SLE) is plausible but undemonstrated. We evaluated the long-term effectiveness of maintaining treatment with hydroxychloroquine sulphate (HCQ) to prevent major flares in quiescent SLE. Forty-seven patients with quiescent SLE who had been randomized to take HCQ (n = 25) or placebo (n = 22) as part of a 24-week withdrawal trial were evaluated for an additional 3 years. The  primary outcome was time to a major flare of SLE which resulted in either the institution of or an increase in the current dosage of prednisone of 10 mg/day or more, or institution of therapy with immunosuppressive agents. Secondary outcomes included the specific subtype of these major flares (glomerulonephritis, vasculitis or other) and hospitalization for an exacerbation of SLE. An intent-to-treat analysis was conducted. Over the 42 months of study, 11 of 22 (50%) patients randomized initially to placebo, and seven of 25 (28%) patients randomized to continue treatment experienced a major flare. The relative risk of  major flare for those randomized to continue HCQ compared with controls was 0.43  (95% CI: 0.17, 1.12). The relative risks for subtypes of flares were 0.26 (95% CI: 0.03, 2.54) for nephritis, 0.51 (95% CI: 0.09, 3.08) for vasculitis and 0.65  (95% CI: 0.17, 2.41) for flares characterized by other symptoms. The relative risk of hospitalization for major flare for patients randomized to continue hydroxychloroquine was 0.58 (95% CI: 0.13, 2.60). While the results are not statistically significant, they are compatible with the clinical belief that HCQ  has a long-term protective effect against major disease flares in SLE and suggest that on average, HCQ use reduces major flares by 57% (95% CI: 83% reduction to 12% increase).;1998-2000
438;Treatment of systemic lupus erythematosus with dehydroepiandrosterone: 50 patients treated up to 12 months.;1998;The Journal of rheumatology;van Vollenhoven RF;OBJECTIVE: To determine whether longterm therapy (up to 1 year) with the weakly androgenic adrenal steroid dehydroepiandrosterone (DHEA) is feasible and beneficial in patients with mild to moderate systemic lupus erythematosus (SLE).  METHODS: In a prospective, open label, uncontrolled longitudinal study 50 female  patients (37 premenopausal, 13 postmenopausal) with mild to moderate SLE were treated with oral DHEA 50-200 mg/day. RESULTS: DHEA therapy was associated with increases in the serum levels of DHEA, DHEA sulfate, and testosterone and, for those patients who continued DHEA, with decreasing disease activity measured by SLE Disease Activity Index score (p < 0.01), patient global assessment (p < 0.01), and physician global assessment (p < 0.05), compared to baseline. Concurrent prednisone doses were reduced (p < 0.05). These improvements were sustained over the entire treatment period. Thirty-four patients (68%) completed  6 months of treatment and 21 patients (42%) completed 12 months. Mild acneiform dermatitis was the most common adverse event (54%). Pre and postmenopausal women  experienced similar efficacy and adverse effects from DHEA. CONCLUSION: DHEA was  well tolerated and appeared clinically beneficial, with the benefits sustained for at least one year in those patients who maintained therapy.;1998-2000
439;Long-term treatment of systemic lupus erythematosus with cyclosporin A.;1997;Arthritis and rheumatism;Caccavo D;"OBJECTIVE: To evaluate the efficacy of long-term treatment with cyclosporin A (CSA) in systemic lupus erythematosus (SLE). METHODS: Thirty patients with SLE whose condition was either poorly responsive or unresponsive to treatment with steroids and/or cytotoxic drugs were enrolled in a prospective, nonrandomized study of CSA. Patients with hypertension or hypercreatinemia were excluded. Disease activity was evaluated according to the systemic lupus activity measure.  Assessments were made prior to study entry and after 6, 12, 18, and 24 months. RESULTS: Twenty-seven patients completed at least 24 months of treatment with CSA. The mean disease activity score significantly decreased after 6 months of therapy (P < 0.01); this result was maintained throughout the study. A conspicuous steroid-sparing effect was observed following administration of CSA (P < 0.01). Side effects included hypertrichosis (63% of patients), paresthesias  (23%), gastrointestinal symptoms (20%), gingival hyperplasia (17%), hypertension  (10%), tremors (7%), and nephrotoxicity (13%). No significant changes in serum creatinine levels were observed. CONCLUSION: CSA represents a helpful second-choice treatment for patients with active SLE. Administration of CSA necessitates expert and careful followup of patients.";<1997
440;Methotrexate in patients with moderate systemic lupus erythematosus (exclusion of renal and central nervous system disease).;1997;Annals of the rheumatic diseases;Gansauge S;"OBJECTIVES: Methotrexate (MTX) has been used in several autoimmune diseases. Apart from its use in rheumatoid arthritis, MTX has been assessed in small studies in patients with vasculitis, uveitis, and inflammatory bowel disease. The aim of this study was to evaluate the efficacy of MTX in a particular group of patients with systemic lupus erythematosus (SLE). PATIENTS: In an open prospective study 22 patients fulfilling the ACR criteria for SLE were included.  Patients had one or more of the following manifestations; active non-destructive  polyarthritis, dermatitis, vasculitis of the skin, pleuritis. All patients had been treated with corticosteroids for at least six months without achieving remission. Sixteen patients were taking antimalarial drugs in addition to corticosteroids, which were stopped at the beginning of the trial. Patients with  renal and central nervous involvement were excluded from the study. All patients  received MTX orally at a dose of 15 mg/week over six months. Corticosteroids were continued. As additional medication only indomethacin up to 100 mg/day was permitted if used before the start of the study. The outcome was evaluated using  the SLE disease activity index (SLEDAI). RESULTS: Disease activity was evaluated  after six months of MTX treatment. All patients completed the study period. The SLEDAI decreased significantly from mean (SD) 12.2 (3.99) to 4 (3.75) (p = 0.001). The prednisolone dose was reduced from a mean (SD) of 17.4 (12.8) at the  beginning to 8.8 (5.36) mg/day at the end point of the study (p = 0.01). MTX was  well tolerated. Four patients complained of general malaise. Two patients had transient increases in liver enzymes. In no case did MTX have to be stopped. CONCLUSIONS: In an open prospective study methotrexate was used in SLE patients with particular clinical characteristics. MTX was shown to be effective in reducing disease activity and sparing the dose of corticosteroids. Further controlled studies are necessary.";<1997
441;The relationship of socioeconomic status, race, and modifiable risk factors to outcomes in patients with systemic lupus erythematosus.;1997;Arthritis and rheumatism;Karlson EW;OBJECTIVE: To study the relationship of race, socioeconomic status (SES), clinical factors, and psychosocial factors to outcomes in patients with systemic  lupus erythematosus (SLE). METHODS: A retrospective cohort was assembled, comprising 200 patients with SLE from 5 centers. This cohort was balanced in terms of race and SES. Patients provided information on socioeconomic factors, access to health care, nutrition, self-efficacy for disease management, health locus of control, social support, compliance, knowledge about SLE, and satisfaction with medical care. Outcome measures included disease activity (measured by the Systemic Lupus Activity Measure), damage (measured by the SLICC/ACR damage index), and health status (measured by the SF-36). RESULTS: In multivariate models that were controlled for race, SES, center, psychosocial factors, and clinical factors, lower self-efficacy for disease management (P < or = 0.0001), less social support (P < 0.005), and younger age at diagnosis (P < 0.007) were associated with greater disease activity. Older age at diagnosis (P < or = 0.0001), longer duration of SLE (P < or = 0.0001), poor nutrition (P < 0.002), and higher disease activity at diagnosis (P < 0.007) were associated with more damage. Lower self-efficacy for disease management was associated with worse physical function (P < or = 0.0001) and worse mental health status (P < or = 0.0001). CONCLUSION: Disease activity and health status were most strongly associated with potentially modifiable psychosocial factors such as self-efficacy for disease management. Cumulative organ damage was most highly associated with clinical factors such as age and duration of disease. None of the outcomes measured were associated with race. These results suggest that education and counseling, coordinated with medical care, might improve outcomes in patients with SLE.;<1997
442;Methotrexate use in systemic lupus erythematosus.;1997;Lupus;Kipen Y;Low dose pulse oral methotrexate (MTX) is a well established treatment for rheumatoid arthritis, and short term open studies have suggested beneficial effects of MTX in SLE. This study was designed to investigate MTX treatment maintenance rates in SLE using life table analysis, and to determine whether MTX  use was associated with a dose reduction of concomitant steroid therapy. All SLE  patients managed by physicians affiliated with a single centre were studied cross-sectionally. Information regarding disease variables and drug use were ascertained by interview and chart review. Drug therapy data including dates of treatment and indications for treatment were analysed using Kaplan-Keier life table methods. Among 101 subjects with SLE, 25 MTX treatment episodes were observed in 24 subjects. The period studied totalled 19766 patient-days, with a median (range) duration of observed MTX treatment of 14.4 (5.1-41.6) months. The  median (range) initial and peak MTX doses with 7.5 (2.5-10)mg/wk and 10 (7.5-15)  mg/week respectively. The principal indication for commencing methotrexate therapy was arthritis. Only two subjects terminated treatment for toxicity, with  the most common reason for termination being remission. The cumulative probability of continuing treatment was 68% at 12 months and 61% at 24 months, or 75% and 71% respectively if cessations for remission were excluded. The median (interquartile range) monthly steroid intake during MTX therapy [279.4 (193.4-492.9)mg] was somewhat lower than during the 6 months prior to [298.1 (237.9-531.4)428.8)mg] MTX therapy, but this difference was not significant. A total of 36% of subjects reduced their steroid dose during MTX therapy, but this  reduction was not significant. Treatment of SLE with MTX, predominantly for arthritis, was well tolerated over prolonged periods of observation. Toxicity of  sufficient severity to lead to treatment termination was uncommon. A subset of subjects were able to reduce steroid intake during MTX therapy, but no overall reduction in steroid dose was observed.;<1997
443;Systemic lupus erythematosus patients with respiratory symptoms: the value of HRCT.;1997;Clinical radiology;Ooi GC;Ten Chinese patients with systemic lupus erythematosus (SLE) and with persistent  respiratory symptoms were evaluated with high resolution computed tomography (HRCT), chest radiographs and lung function tests. Fourteen of 15 HRCT scans performed were abnormal. The predominant disease pattern, seen in 60% of patients, was one of chronic interstitial lung disease with honeycombing, architectural distortion, parenchymal bands, pleural irregularity, and a lower zone predominance. Three of 10 patients had histological evidence of either lung  fibrosis or interstitial pneumonitis. Airways disease and pleural thickening were seen in 20% and 87% of scans, respectively. Pleural thickening and honeycombing were present in 53% and 20% of chest radiographs, respectively. All concurrent lung function tests were abnormal. Reduced diffusion capacity of carbon monoxide  (DLCO/VA) was observed in 60% of lung function tests. There was no correlation between duration of disease and DLCO/VA. However, pathological reduction of DLCO/VA was seen in 71% of patients with honeycombing, and 88% of patients with ground glass opacity. Our study has documented a high incidence of HRCT features  of chronic lung destruction and a lower zone predominance in SLE patients with persistent respiratory symptoms.;<1997
444;Correlation between CD29 density on CD8+ lymphocytes and serum IgG in systemic lupus erythematosus.;1997;Lupus;Pallis M;The purpose of this paper is to establish whether there is increased lymphocyte adhesion molecule density in systemic lupus erythematosus (SLE), which could alter the migration pathways and activation thresholds of lymphocytes and thus contribute to the pathogenesis of the disease. We analysed the CD11a, CD29 and CD2 bound antibody molecule (bam) density on the CD4+ and CD8+ CAMhigh (primed) lymphocytes of 28 SLE patients (8 active and 20 inactive by BILAG), using reproducible flow cytometric measurements, standardized with fluorescent beads and antibodies of known fluorescein: protein ratios. In a second patient cohort (17 patients), we investigated whether CD29 density on CD8+ cells correlated with measures of humoral (serum IgG) or cellular (urine neopterin) activation. In the  first cohort, 36% of patients had elevated CD29 (beta 1 integrin) density on CD8+ cells. In the second cohort, CD29 density on CD8+ cells was found to be closely associated with total plasma IgG (r = 0.71, P = 0.001), but not with urine neopterin, disease activity (BILAG) or drug treatment. We conclude that CD29 on CD8+ cells is associated with B cell activation in SLE.;<1997
445;Risk factors for early work disability in systemic lupus erythematosus: results from a multicenter study.;1997;Arthritis and rheumatism;Partridge AJ;OBJECTIVE: To study the risk factors for early work disability in systemic lupus  erythematosus (SLE). METHODS: A sample of 159 SLE patients who had been employed  at some time since diagnosis was drawn from a multicenter study of outcome in SLE. Disease activity, organ damage, education, income, source of health insurance, and work-related factors were measured in a standardized interview. Work disability was defined by patient self-report of not working because of SLE. The outcome measure was current work status. Seven patients were excluded from the analysis because their choice not to work was unrelated to SLE. RESULTS: An average of 3.4 years after diagnosis, 40% had quit work completely, and job modification was substantial. Univariate analysis (chi-square and t-test) showed  that significant predictors of early work disability included having a high school education or less, receiving Medicaid or having no health insurance, having a job which required more physical strength, having an income below poverty level, and having greater disease activity at diagnosis. In multivariate  models, significant predictors were education level (P = 0.0004), higher physical demands of the job (P = 0.0028), and higher disease activity at diagnosis (P = 0.0078). Race, sex, cumulative organ damage at diagnosis, and disease duration were not significant. CONCLUSION: Early work disability in SLE is strongly associated with some sociodemographic factors that might be amenable to intervention.;<1997
446;Cytotoxic therapy in systemic lupus erythematosus. Experience from a single center.;1997;Medicine;Rahman P;The present survey of cytotoxic therapy from a single large lupus clinic has shown that approximately 33% of the patients have received cytotoxic therapy at some point in their course. These agents were initiated for a variety of manifestations, with renal manifestations being the major indication, accounting  for 28.2% of the cytotoxic agents used. Other common indications for initiation of cytotoxic therapy included steroid sparing (18.4%), global flare (12.5%), neurologic manifestations (11.4%), and musculoskeletal (8.6%). Azathioprine, methotrexate, and cyclophosphamide accounted for 98% of all cytotoxic agents used. Azathioprine was the most frequently used cytotoxic drug (70%), followed by methotrexate (21.5%) and cyclophosphamide (9.4%). Cytotoxic agents were used sequentially in 12.5% of patients and in combination in 4.2% of the patients. Overall, the use of cytotoxic therapy appears to be beneficial in reducing global disease activity, as the mean SLEDAI fell by 2.59 (33%) over 6 months of cytotoxic therapy, and the mean steroid dose was reduced by 37% over the same time period. There was also an improvement in most organ-specific indications with the use of cytotoxic agents. Overall the cytotoxic agents were well tolerated, with 17% of the courses being discontinued due to a side effect. Cytopenia was the most common side effect necessitating discontinuation of cytotoxic agents.;<1997
447;Echocardiographic findings, lipids and lipoprotein(a) in patients with systemic lupus erythematosus.;1997;Clinical rheumatology;Rantapaa-Dahlqvist S;Cardiac involvement, evaluated by echo-doppler-cardiography, occurred in 41 of 50 (82%) patients with systemic lupus erythematosus (SLE). Valvular pathology with aortic cusp sclerosis was the most prevalent finding irrespective of age. This finding, suggestive of atherosclerotic heart disease, was supported by increased  levels of cholesterol and triglycerides in these patients. There was no significant increase in Lp(a) in the whole patient group, but Lp(a) was raised in patients with proteinuria. Forty percent of the SLE patients had pericarditis. Twelve patients with hypertension and/or mitral regurgitation had increased dimensions of left ventricle, left atrium or interventricular septum while 15 of  50 patients had isolated increase of these parameters. Localized hypokinesia was  found in nine patients. Reduced cardiac index was found in five patients with SLE. There was no association between valvular disease, increased pulmonary artery pressure, and anticardiolipin antibodies.;<1997
448;Cyclosporin and plasmapheresis in treatment of progressive systemic lupus erythematosus (pSLE).;1997;Transfusion science;Schiel R;The prognosis of patients suffering from progressive systemic lupus erythematosus (pSLE) is poor, despite treatment with intensive drug regimens with combinations  of corticosteroids, azathioprine and cyclophosphamide. Side-effects such as infections and malignomas often occur. In the present trial, 21 patients (four male, 17 female, aged 37.9 +/- 12.8) suffering from pSLE for 9.4 +/- 2.6 years, were treated for 2.3 +/- 1.8 years with drug regimens as mentioned above. Then, over a period of 6.4 +/- 2.6 (range 1-8) years, in addition to conventional therapies, cyclosporin (2.5 +/- 0.6 mg/kg body wt/d) and, in active stages of the disease with extremely high concentrations of anti-ds-DNA-, anti-nuclear antibodies and circulating immunocomplexes, plasmapheresis (therapeutic plasma exchange (TPE)) have been applied. Compared with previous treatment modalities, significantly (P < 0.05) more effective and rapid reduction of antibodies was achieved. Clinical symptoms improved within 2 to 4 weeks. Under the new therapeutic regimen all patients reported increased performance and a better quality of life. After 5 to 48 (17.5 +/- 13.8) months, cyclosporin was established as mono-therapy for 8/21 patients. In] the other cases, corticosteroids, azathioprine and cyclophosphamide were reduced by 40 to 100%. No severe side-effects were seen. In acute stages of pSLE and in forms with persistently high antibody levels, the addition of TPE to conventional therapy was very effective, with regard to improving both clinical and laboratory parameters.;<1997
449;"Consistency and validity of patient administered assessment of quality of life by the MOS SF-36; its association with disease activity and damage in patients with  systemic lupus erythematosus.";1997;The Journal of rheumatology;Stoll T;"OBJECTIVE: To investigate the metric properties and validity of the assessment of quality of life by the MOS Short Form 36 (SF-36) in patients with systemic lupus  erythematosus (SLE) and to examine the effect of disease on quality of life. METHODS: Cross sectional study of 150 patients with SLE (age: mean 39.7 yrs, SD 11.4 yrs; 95% female) attending 2 specialist lupus clinics between November 1994  and April 1995. Shortly before or after the consultation patients completed the SF-36 and the MOS SF-20 with an additional question about fatigue (SF-20+) in random order. Disease activity was measured by the British Isles Lupus Activity Group System (BILAG), disease damage by the Systemic Lupus International Collaborating Clinics/American College of Rheumatology (SLICC/ACR) damage index (SLICC). RESULTS: SF-36 domains were shown to be internally consistent (Cronbach's coefficient alpha > or = 0.71). Significant associations of the SF-36 domains with the corresponding domains of the SF-20+ and with global disease activity measured by BILAG were observed. SF-36 scores in patients with SLE were  significantly lower than in controls. Different disease activity levels were significantly associated with different quality of life scores, with excellent ability to record the continuum from good health to serious illness by the SF-36. Disease activity had greater effect on quality of life than age, cumulative damage, or disease duration. CONCLUSION: This study shows the SF-36 is internally consistent and proves construct, discriminatory, and criterion validity for the SF-36 and construct validity for the SF-20+ in patients with SLE. The SF-36 is preferred because of its broader scope of questions, its widespread use, and previous international validation for a wide variety of diseases.";<1997
450;Association of the Systemic Lupus International Collaborating Clinics/American College of Rheumatology Damage Index with measures of disease activity and health status in patients with systemic lupus erythematosus.;1997;The Journal of rheumatology;Stoll T;"OBJECTIVE: To examine the internal consistency and validity of the Systemic Lupus International Collaborating Clinics/American College of Rheumatology Damage Index (SDI) with respect to disease activity, health status, and medication score. METHODS: A prospective cross sectional study of patients with systemic lupus erythematosus (SLE) attending a specialist lupus outpatient clinic between July 1994 and February 1995. The internal consistency of the SDI components was examined using Cronbach's coefficient alpha. The associations of the SDI components with disease activity measured by the British Isles Lupus Assessment Group (BILAG) index, health status measured by the Medical Outcomes Study (MOS) Short Form 20, and with a medication score were analyzed using Spearman's rank correlation coefficient (p). RESULTS: 133 women and 8 men ranging in age from 20.1 to 88.7 years (mean 41.1, SD 12.5) were studied. With few exceptions, the components of the SDI that reflect damage in different organ systems were not associated with each other. We found a significant although weak relationship between some related SDI and BILAG components (p 0.25 to 0.28; p < 0.01). While damage to the musculoskeletal system was associated with limitations in physical  functioning measured with the MOS Short Form 20 (p-0.30; p < 0.01) and renal damage inversely with fatigue (p-0.23; p < 0.01) there was no significant relationship of other SDI components with the MOS Short Form 20. Renal and neuropsychiatric damage were associated significantly with the medication score (p 0.27 and 0.23; p < 0.01). CONCLUSION: The components of the SDI are valid in that they are associated with disease activity in the respective organ systems and some of them with a medication score. However, damage in different organ systems in SLE does not follow a common pattern. It is thus suggested that the SDI profile be used in addition to the SDI total score as an endpoint in clinical and epidemiological studies.";<1997
451;Avascular necrosis of bone in systemic lupus erythematosus. The predictive role of precipitating autoantibodies.;1997;Scandinavian journal of rheumatology;Watanabe T;The association between the type of precipitating autoantibodies and occurrence of avascular necrosis of bone (AVN) was examined. We prospectively analyzed clinical and laboratory findings of our 113 patients with SLE. Seven of 113 (6%)  patients developed AVN. Anti-Ro (SS-A) and anti-RNP antibodies coexisted in 3 of  7 AVN patients. The same combination of these two antibodies were observed in 1 without AVN. Antibodies to topoisomerase I were detected in 2 other patients with AVN but not in any of the patients without AVN. The coexistence of the former two or the presence of the latter one is rare in SLE. However, these (combination of) antibodies can be useful as a local ischemic marker predicting the development of AVN.;<1997
452;Study of critically ill patients with systemic lupus erythematosus.;1996;Critical care medicine;Ansell SM;OBJECTIVES: To determine the presenting features, prognostic factors, course, and outcome of critically ill patients with systemic lupus erythematosus admitted to  the intensive care unit (ICU). DESIGN: Retrospective patient record review. SETTING: Two academic teaching hospitals. PATIENTS: All patients with systemic lupus erythematosus admitted to the ICUs between January 1982 and July 1993. MEASUREMENTS AND MAIN RESULTS: There were 28 female and two male patients. Fifteen patients were white, 11 patients were black, and four patients were Asian. The median age was 29 yrs. The reasons for admission to the ICU were multifactorial. However, most patients were admitted for infective, renal, cardiac, or coagulation complications. Despite aggressive management, 16 (53%) patients died in the ICU or shortly after discharge. The median ICU survival rate (admission to death) was 22 days. The only pretreatment factor that predicted a poor outcome was the presence of renal involvement due to systemic lupus erythematosus. CONCLUSIONS: Our study suggests that patients with systemic lupus  erythematosus admitted to an ICU often have florid disease manifestations with multifactorial reasons precipitating the admission. The prognosis for such patients is poor, particularly in the presence of renal involvement.;<1997
453;Health outcome improvements in patients with systemic lupus erythematosus using two telephone counseling interventions.;1996;Arthritis care and research : the official journal of the Arthritis Health;Austin JS;OBJECTIVE: To examine the effectiveness of two telephone intervention strategies  for improving the health outcomes of patients with systemic lupus erythematosus (SLE). METHODS: Fifty-eight SLE patients were randomly assigned to receive a 6-month telephone counseling intervention using either a treatment counseling (TC) or symptom monitoring (SM) strategy. Health outcomes were assessed using the Fatigue Severity Scale (FSS) and the Arthritis Impact Measurement Scales 2 (AIMS2). RESULTS: At the 6-month followup, the mean AIMS2 Physical Function scale and AIMS2 Social Support scale scores were significantly improved (P < 0.05) for  the TC group compared to the SM groups. The mean FSS score, AIMS2 Affect score, and AIMS2 Pain score were significantly improved (P < 0.05) for both groups. CONCLUSIONS: Telephone interventions, especially using the TC approach, can be effective for improving the functional status of persons with SLE.;<1997
454;Biochemical characterization of ADP-ribose polymer metabolism in SLE.;1996;Lupus;Chen HY;The metabolism of poly(ADP-ribose) in peripheral blood mononuclear (PBM) cells was studied in 13 patients with systemic lupus erythematosus (SLE) and in 12 age  and sex matched controls. Poly(ADP-ribose) polymerase activity was measured as the net accumulation of ADP-ribose polymers during the conversion of 32P-NAD to poly(ADP-ribose) in PBM cells in vitro. The control population showed a mean activity of 418 +/- 91(s.d.)pmol ADP-ribose/10 min/10(6) cells. The SLE population was more heterogeneous and showed a lower mean of 225 +/- 147(s.d.)pmol ADP-ribose/10 min/10(6) cells. The mechanism of decreased ADP-ribose polymer accumulation was investigated. Measurements of turnover of the ADP-ribose polymers and its substrate, NAD+, showed that diminished ADP-ribose polymer accumulation in SLE subjects resulted from decreased poly(ADP-ribose) synthesis and not from altered rates of polymer turnover or NAD utilization. Western blot analyses of enzyme protein levels, kinetic studies of poly(ADP-ribose) polymerase activity and analyses of polymer size distribution suggested that the mechanisms of poly(ADP-ribose) synthesis in SLE cells is not altered but that the number of active poly(ADP-ribose) polymerase molecules is reduced.;<1997
455;Outpatient monthly oral bolus cyclophosphamide therapy in systemic lupus erythematosus.;1996;The Journal of rheumatology;Dawisha SM;OBJECTIVE: An open label study to determine the feasibility and acute toxicity of a 6 month course of outpatient intermittent bolus high dose oral cyclophosphamide in patients with active systemic lupus erythematosus (SLE). METHODS: Oral cyclophosphamide in a single dose of 0.5 to 1.0 g/m2 was given monthly for 6 consecutive months. Disease activity was monitored by quantitative assessments of urine sediment, 24h urine protein excretion, and the Systemic Lupus Activity Measure (SLAM). RESULTS: Twelve patients (11 with glomerulonephritis and one with thrombocytopenia) were studied. Improvements in SLAM scores, proteinuria, and urinary cellular casts were observed in the majority of the 9 patients with nephritis who completed the study. Adverse effects included mild nausea in most patients and intercurrent infections in 2 patients (herpes zoster, cellulitis, urinary tract infection). Three patients failed to complete the 6 month course of therapy because of treatment failure in the patient with thrombocytopenia, pregnancy, and severe vomiting, respectively. CONCLUSION: High dose pulse oral cyclophosphamide is an acceptable alternative for the aggressive outpatient management of selected patients with lupus nephritis.;<1997
